name,categories,lat,lng,state
Japan Express,Japanese Restaurant,31.552038,-84.161157,GA
Panda,Chinese Restaurant,31.612944,-84.220691,GA
Tokoyo Japanese Steak House And Sushi Bar,Japanese Restaurant,31.619754,-84.225362,GA
Ichiban Grill,Japanese Restaurant,31.186021,-83.759838,GA
Viėt Phô,Vietnamese Restaurant,31.615552,-84.223478,GA
Asahi Express,Japanese Restaurant,31.457587299363478,-83.52640583660497,GA
saigon kitchen,Thai Restaurant,31.45745086669922,-83.52174377441406,GA
Coconut Asian Bistro,Asian Restaurant,31.457369,-83.521851,GA
Kobe,Japanese Restaurant,31.498734,-82.851244,GA
Main Garden,Asian Restaurant,31.701265663897168,-83.24935924016057,GA
King Buffet,Asian Restaurant,31.45282,-83.52723,GA
Tokyo Express,Japanese Restaurant,31.514446176048253,-82.85044504774919,GA
China Garden,Chinese Restaurant,31.2065756,-83.2492946,GA
Lin's Garden,Chinese Restaurant,31.44510092156143,-83.54347791858177,Georgia
New China Buffet,Chinese Restaurant,31.4711878291282,-83.50300860225704,GA
Jin Jin,Chinese Restaurant,31.50850648772249,-82.85027149425815,GA
China Buffet Restaurant,Chinese Restaurant,31.134858205695366,-83.44006977370849,GA
China House,Chinese Restaurant,31.13503584,-83.43132876,GA
Dragon 1 Chinese Restyrant,Chinese Restaurant,31.43157036143784,-83.51621147271537,GA
Great Wall,Chinese Restaurant,31.458359056601832,-83.5078871129709,GA
Thai Smile,Thai Restaurant,31.498798,-82.85012,GA
Oishii Japanese Grill,Japanese Restaurant,31.445733689092773,-83.54473519029399,GA
Oishii,Japanese Restaurant,31.445525,-83.544686,GA
Fuji Express,Japanese Restaurant,31.48810119956399,-82.84560115859745,Georgia
KOBE Hibachi and Sushi,Japanese Restaurant,31.691092,-83.24734,GA
Zoku Hibachi,Japanese Restaurant,31.135868,-83.440063,GA
Tokyo Japanese Restaurant,Japanese Restaurant,31.452908165765677,-83.52888592639911,GA
Tokyo Sushi Bar,Japanese Restaurant,31.452907902392415,-83.52870745195277,GA
Osaka Hitachl and Sushi,Japanese Restaurant,31.463107,-83.527782,GA
Wong's Palace Restaurant,Chinese Restaurant,31.208998241450765,-82.33929178625225,GA
New China,Chinese Restaurant,31.598338346375026,-81.87418757416283,GA
Fancy Q's,Japanese Restaurant,31.21061482199517,-82.36084642984751,GA
New Super Buffet,Chinese Restaurant,31.605158669849995,-81.90855657453022,GA
Kobe Japanese Hibachi & Sushi,Japanese Restaurant,31.196351977423426,-82.3201214631226,GA
Fuji Japanese Steakhouse & Seafood,Japanese Restaurant,31.201216245328006,-82.32764030897413,GA
Number 1 Wok,Chinese Restaurant,31.2257,-82.353397,GA
Mr Sze Chinese Food,Chinese Restaurant,31.51745,-82.639969,GA
China Buffet,Chinese Restaurant,31.86403874112481,-82.60099819865123,GA
Panda,Chinese Restaurant,31.304652128309478,-82.24305837035072,GA
Jin's Buffet,Chinese Restaurant,31.78008819,-82.35503681666667,GA
New China Resturant,Chinese Restaurant,31.863020162008276,-82.60540042601184,GA
New Beijing Buffet,Chinese Restaurant,31.194657171314738,-82.32139612177245,GA
Nang's Thai,Thai Restaurant,31.610732454788568,-81.889473370981,GA
japanese express,Japanese Restaurant,31.48500633239746,-82.01851654052734,GA
Fuji Express,Japanese Restaurant,31.209318,-82.385411,GA
Fuji Express,Japanese Restaurant,31.613729299922742,-81.87728840334678,GA
Nikoto Japanese Express,Japanese Restaurant,31.267209,-82.286365,GA
Fuji,Japanese Restaurant,31.77930023899885,-82.35216903707173,GA
fuji express,Japanese Restaurant,31.2012085713137,-82.32762068118384,GA
Kobe Hibachi,Japanese Restaurant,31.60333463571555,-81.90668882594767,GA
Fuji,Japanese Restaurant,31.299066,-82.24893705916737,Georgia
Oishii,Japanese Restaurant,31.592521,-81.871195,Georgia
Kobe Hibachi & Sushi,Japanese Restaurant,31.785211,-82.362718,GA
Kyoto Express,Asian Restaurant,31.21361924476782,-81.48238242423183,GA
Panda Express,Chinese Restaurant,31.822362,-81.59995,GA
Basil Thai,Thai Restaurant,31.147584,-81.494951,GA
Golden Hibachi Buffet,Chinese Restaurant,31.838536156284025,-81.59644841869489,GA
Fancy Q Sushi Bar & Grill,Japanese Restaurant,31.162380854696035,-81.38897006706945,GA
Seasons Of Japan,Japanese Restaurant,31.202949398958967,-81.48222923827352,GA
Fancy Q,Japanese Restaurant,31.19388679315297,-81.47977440834259,GA
Tip Tum Thai,Thai Restaurant,31.22666833526042,-81.52735241170689,GA
Orient Express,Chinese Restaurant,31.84124210842649,-81.60158179939276,GA
Kobe Japanese Steakhouse,Japanese Restaurant,31.85423157489538,-81.57741380724806,GA
China Restaurant,Chinese Restaurant,31.852287949997486,-81.58001144340825,GA
China One,Chinese Restaurant,31.2134999610978,-81.48100074143443,Georgia
First Asia Express,Asian Restaurant,31.845719365844317,-81.60228252410889,GA
Asian Taste Lee,Asian Restaurant,31.22646244793565,-81.52706306266212,GA
New Hong Kong,Chinese Restaurant,31.19309425354004,-81.4856185913086,GA
Wok N Roll,Chinese Restaurant,31.85348566,-81.60594,GA
Panda Express,Chinese Restaurant,31.235073,-81.49978,GA
China Super Buffet,Chinese Restaurant,31.851426845407197,-81.58396834838193,GA
Wok N Roll,Chinese Restaurant,31.16591975233193,-81.49297714233398,GA
Pho #1,Vietnamese Restaurant,31.208901195774573,-81.4822493659415,GA
Seoul Restaurant,Korean Restaurant,31.827214,-81.619263170363,GA
Kyoto Japanese Steakhouse,Japanese Restaurant,31.845428352273093,-81.5934258501408,GA
City Buffet,Chinese Restaurant,31.21654073937155,-81.48973307073759,Georgia
China Wok,Chinese Restaurant,31.2175914,-81.489457,GA
China Lee,Chinese Restaurant,31.22676199,-81.526465,GA
Chopstick Cafe,Chinese Restaurant,31.826888812718643,-81.61981189785662,GA
Fortune House,Chinese Restaurant,31.15881861534768,-81.39111794017029,GA
China One,Chinese Restaurant,31.139346550838905,-81.58748601648517,GA
Wok N Roll 2,Chinese Restaurant,31.215167259462312,-81.48067246828667,GA
China Town,Chinese Restaurant,31.247850892672957,-81.50709529151005,GA
Chens Express,Chinese Restaurant,31.523881912231445,-81.42998504638672,GA
China #1,Chinese Restaurant,31.3753604888916,-81.43485260009766,GA
Won-Ton,Chinese Restaurant,31.84451,-81.59949,GA
Chinatown Restaurant,Chinese Restaurant,31.247837891198877,-81.5067790657521,GA
Top's China,Chinese Restaurant,31.842492769426116,-81.6014426212162,GA
Hong Kong Restaurant,Chinese Restaurant,31.82497502197177,-81.60002941274128,GA
China #1,Chinese Restaurant,31.335387124409113,-81.467165328071,GA
Sushi House,Japanese Restaurant,31.842706984674322,-81.60160276524809,GA
Nakorn Thai Cuisine,Thai Restaurant,31.226646,-81.527295,GA
Sawadee Thai Cuisine,Thai Restaurant,31.834385,-81.609534,GA
Tara Thai and Sushi,Thai Restaurant,31.163329,-81.387548,GA
Tup Tim Thai Restaurant,Thai Restaurant,31.264836,-81.518758,GA
Sumo Hibachi Grill & Sushi,Japanese Restaurant,31.836083456341044,-81.59636779371777,GA
Kobe Japanese Steak House,Japanese Restaurant,31.159099,-81.3902303,Georgia
Sushi House,Japanese Restaurant,31.85813,-81.607109,GA
Sumo,Japanese Restaurant,31.21494,-81.4861,GA
Saigon Pho,Vietnamese Restaurant,31.22396416177871,-81.47747687226453,GA
Hwang Keum Jung Korean Restaraunt,Korean Restaurant,31.195123,-81.482517,GA
Korean Kari Out,Korean Restaurant,31.840617,-81.59759,GA
Chef Lee's Peking Restaurant,Chinese Restaurant,32.53173418655664,-84.96421109441076,GA
Mikata Japanese Steakhouse & Sushi Bar,Japanese Restaurant,32.5173934,-84.9556952,GA
Uptown Vietnam Cuisine,Vietnamese Restaurant,32.47037183788633,-84.992943707113,GA
Sarku Japan,Japanese Restaurant,32.50846662793784,-84.9435029337723,GA
Ok Sun Korean Restaurant,Korean Restaurant,32.55980525195635,-84.94754217472831,GA
Hibachi Grill Supreme Buffet,Asian Restaurant,32.482021281031166,-84.9446959457488,GA
Mandarin Cafe,Chinese Restaurant,32.53240230101492,-84.95445942249611,GA
Bombay Bay,Indo-Pak Restaurant,32.55660471558373,-84.94412237285708,GA
Chili Thai,Thai Restaurant,32.46494281755456,-84.99418267415837,GA
Thai House,Thai Restaurant,32.5234792,-84.958715,GA
New China,Chinese Restaurant,32.5383719813171,-84.9555759792113,GA
Fuji Japanese Steakhouse,Japanese Restaurant,32.53864534473995,-84.95590570959652,GA
Panda Garden,Chinese Restaurant,32.52092208116921,-84.88915281178427,GA
Wasabi Sushi & Thai,Thai Restaurant,32.53402955964205,-84.96695662812375,GA
Lin China,Chinese Restaurant,32.55731536444457,-84.90522915618465,GA
Samurai Japanese Cuisine and Sushi Bar,Japanese Restaurant,32.46527096654288,-84.99335577026281,GA
New China Express (Dolla Scoop),Chinese Restaurant,32.53650177259679,-84.87831737793266,GA
Samurai II Japanese Cuisine and Sushi Bar,Japanese Restaurant,32.55181297929126,-84.94611226101891,GA
Lemongrass,Japanese Restaurant,32.4720896013365,-84.95581193246942,GA
Sushiko Japanese Restaurant,Japanese Restaurant,32.48427262291006,-84.93821232327775,GA
Panda Express,Chinese Restaurant,32.54150069443045,-84.95051948120383,GA
Lucky Dragon,Chinese Restaurant,32.534568311927615,-84.90601338849186,GA
Golden Chopsticks,Korean Restaurant,32.44546050133791,-84.92973466635013,GA
Pho' vy II,Vietnamese Restaurant,32.51706856637588,-84.95543844982075,GA
Korea House,Korean Restaurant,32.52241253398084,-84.96398351816848,GA
Koreana,Korean Restaurant,32.52860814599206,-84.92465653964963,GA
Shogun Japanese Steak House,Japanese Restaurant,32.50672524944768,-84.9652210727203,GA
chef changs asian grill,Asian Restaurant,32.536750075493785,-84.8702903459799,Georgia
Main PX Manchu WOK,Asian Restaurant,32.37568509409677,-84.92349525239193,Georgia
China Express,Chinese Restaurant,32.50710284606957,-84.95809342523671,GA
#1 Chinese Restaurant,Chinese Restaurant,32.41634745,-84.941703,GA
Great Wall,Chinese Restaurant,32.52278937365838,-84.94800567626953,GA
Hungry,Asian Restaurant,32.5363448241917,-84.87751450433556,GA
Lee' Golden China,Chinese Restaurant,32.470375,-84.9865574,GA
Taste Of India,Indo-Pak Restaurant,32.521711,-84.959461,GA
Hibachi Express,Asian Restaurant,32.53900122927786,-84.8743646753293,GA
Just Thai,Thai Restaurant,32.514627872814955,-84.98451439186263,GA
China Kitchen,Chinese Restaurant,32.482234,-84.896988,GA
Teriyaki ToGo,Japanese Restaurant,32.53684852219128,-84.87011543617932,GA
Sunny's Deli,Chinese Restaurant,32.428125,-84.939985,GA
China Star,Chinese Restaurant,32.50770921408763,-84.93304874442742,GA
New Garden Chinese Restaurant,Chinese Restaurant,32.489448802574614,-84.971622959596,GA
Hong Kong Buffet,Chinese Restaurant,32.533210124157414,-84.96929168701172,GA
China Moon Restaurant,Chinese Restaurant,32.520511,-84.948279,GA
New China Super Buffet,Chinese Restaurant,32.538768236354805,-84.95535460652593,GA
China Wok,Chinese Restaurant,32.55578269215839,-84.97383153562423,GA
Buffet City,Chinese Restaurant,32.481307,-84.94607,GA
Lucky China Buffet,Chinese Restaurant,32.50645408005585,-84.95480657536557,GA
Mandarin Express,Chinese Restaurant,32.508514,-84.943541,GA
Mandarin Express,Chinese Restaurant,32.508384704589844,-84.94351196289062,GA
China Cafe,Chinese Restaurant,32.491473337957395,-84.91931580675242,GA
China Wok,Chinese Restaurant,32.63437340439088,-84.80148814495249,GA
Spicy China,Chinese Restaurant,32.524285,-84.88866486,GA
China Wok III,Chinese Restaurant,32.5242604071438,-84.88874865372011,GA
Grand Panda Express,Chinese Restaurant,32.48331606388092,-84.938041,GA
Hong Kong Chinese Takeout,Chinese Restaurant,32.44560594921343,-84.9298655145846,GA
New China Express,Chinese Restaurant,32.53630420265102,-84.87831338300865,GA
Mandarin House,Chinese Restaurant,32.5327912689883,-84.95387081230726,GA
China Inn,Chinese Restaurant,32.469477495892576,-84.96025117911684,GA
No. 1 China Express,Chinese Restaurant,32.50669798394631,-84.95650807704514,GA
China Wok,Chinese Restaurant,32.43158939875168,-84.95356591823686,GA
Buffet City Of Columbus,Chinese Restaurant,32.52161541973911,-84.95935862297725,GA
No. 1 Chinese Restaurant,Chinese Restaurant,32.412256501155994,-84.9476811389949,GA
China Inn Express,Chinese Restaurant,32.40582024688414,-84.9314871982171,GA
Hibachi Buffet,Japanese Restaurant,32.53333276081727,-84.96930735749244,GA
Shogun Japanese Steak House,Japanese Restaurant,32.545231864761014,-84.94526140046469,GA
Orient Express,Korean Restaurant,32.40995083678854,-84.94137965902199,GA
Hibachi Express,Japanese Restaurant,32.532491683409006,-84.96384586178063,GA
Jumbo China,Chinese Restaurant,32.47205442094064,-84.95603792616606,GA
Thai and Thai,Thai Restaurant,32.528148,-84.958508,GA
Basil Thai Kitchen,Thai Restaurant,32.508352,-84.943533,GA
Chili Thai,Thai Restaurant,32.50338327823354,-84.9754277129861,GA
Thai House,Thai Restaurant,32.51,-84.87,GA
Yamazaki Sushi & Hibachi,Japanese Restaurant,32.539742830773434,-84.86796491748095,GA
Sarku,Japanese Restaurant,32.5085805939892,-84.94344757959294,GA
Miyori,Japanese Restaurant,32.516627,-84.968314,GA
JL Japanese Express,Japanese Restaurant,32.547415,-84.940975,GA
Fuji,Japanese Restaurant,32.538659367596686,-84.95594912952738,GA
Tokyo III,Japanese Restaurant,32.533651,-84.969094,GA
Hibachi Express,Japanese Restaurant,32.415876,-84.943484,GA
Kimus Japanese Restaurant,Japanese Restaurant,32.536091,-84.954768,GA
Fugi,Japanese Restaurant,32.54535143381103,-84.95309841078613,GA
Wasabi Columbus Park,Japanese Restaurant,32.54249428475199,-84.9494694857147,GA
Osaka,Japanese Restaurant,32.52269046430663,-84.95731091921469,GA
Pho Vy,Vietnamese Restaurant,32.51471402609212,-84.98456988672572,GA
Pho'Viet,Vietnamese Restaurant,32.51699026593083,-84.95533428084214,GA
Seoul Korean Restaurant,Korean Restaurant,32.4166389075091,-84.95160439354018,GA
Mongo Grill,Asian Restaurant,32.56101323073191,-84.9381329881079,GA
Zen Steakhouse & Sushi Bar,Japanese Restaurant,32.61599263734966,-83.70271750080353,GA
Yummy Express,Asian Restaurant,32.466454,-83.740906,GA
New China #8,Chinese Restaurant,32.654574439643426,-83.75190180731856,GA
Peach County Ga,Indo-Pak Restaurant,32.636202406133485,-83.7521420954378,GA
Hibachi Buffet,Japanese Restaurant,32.46872249211038,-83.74004528322685,GA
New China Buffet,Chinese Restaurant,31.96261462511323,-83.76280200088193,GA
Habatchi,Chinese Restaurant,32.60928213202401,-83.74282030706682,GA
China King,Chinese Restaurant,32.47253710085666,-83.70521824933319,GA
China Wok,Chinese Restaurant,32.55776468642445,-84.23750889636133,GA
Hong Kong China Buffet,Chinese Restaurant,32.46867886691674,-83.73982742563703,GA
Ming Garden,Chinese Restaurant,32.07515297918339,-84.2175590672665,GA
Twin Dragon Hibachi Express,Chinese Restaurant,32.654426,-83.751857,GA
New China Buffet,Chinese Restaurant,32.57052313559134,-83.87173175811768,GA
Green Tea,Chinese Restaurant,32.070905,-84.215686,GA
China House,Chinese Restaurant,32.47294896208974,-83.7404083775112,GA
Peking Gourmet,Chinese Restaurant,32.56972161881395,-83.88832091562328,GA
Asian Express,Chinese Restaurant,31.963267026366353,-83.78244550914245,GA
China One,Chinese Restaurant,31.963784550059437,-83.76112198180357,GA
Dai-Ichi Japanese,Japanese Restaurant,32.56283395430429,-83.73820903103999,GA
Hachi Sushi and Japanese Grill,Japanese Restaurant,31.961484,-83.752854,GA
Hibachi Express,Japanese Restaurant,32.07191766882768,-84.2108138865292,GA
Ichiban,Japanese Restaurant,32.621424,-83.709094,Georgia
Sumo,Japanese Restaurant,31.961258,-83.759125,GA
Curry Mantra,Indo-Pak Restaurant,32.614965211874264,-83.69754782690738,GA
Saigon Noodle House,Vietnamese Restaurant,32.567459827436316,-83.59370312050329,GA
Hibachi Buffet Grill and Sushi,Asian Restaurant,32.61606360203909,-83.69695687120404,GA
Anna's Asian Cafe,Asian Restaurant,32.552346911168364,-83.69364922383741,GA
Stir King,Chinese Restaurant,32.61679368352325,-83.68487476452675,GA
Peking Garden,Chinese Restaurant,32.618478668655804,-83.69478826426068,GA
Panda Express,Chinese Restaurant,32.61795496152433,-83.67597244088508,GA
Top Wok,Chinese Restaurant,32.61853494776319,-83.62072764767892,GA
Thai Pepper,Thai Restaurant,32.59368578643081,-83.66602076347682,GA
Koiya,Japanese Restaurant,32.54977735125196,-82.96986630558216,GA
Hong Kong Express,Chinese Restaurant,32.618864073791556,-83.67144584655762,GA
Dai-Ichi,Japanese Restaurant,32.59358737602814,-83.63460511301668,GA
Ichiban Japanese Steakhouse,Japanese Restaurant,32.61639415617993,-83.69233408856651,GA
Genji Japanese Steakhouse,Japanese Restaurant,32.61665734516998,-83.68287740622596,GA
Choi's Korean Restaurant,Korean Restaurant,32.619388839904595,-83.61251403890675,GA
Sushi Thai,Thai Restaurant,32.61931420446358,-83.66861020824216,GA
Metropolis Grill,Indo-Pak Restaurant,32.55384791654597,-83.66838093496446,GA
Teppanyaki,Asian Restaurant,32.542620711369366,-82.95617612858973,GA
Little Tokyo Japanese Steakhouse,Japanese Restaurant,32.54513877061776,-82.93664069219784,GA
Wok N Roll,Chinese Restaurant,32.55570925525394,-83.66165705379208,GA
Moon's Wings & Seafood,Asian Restaurant,32.63060512655632,-83.64292312287202,GA
Top China,Chinese Restaurant,32.547071802071514,-83.69301661544904,GA
Asian House,Asian Restaurant,32.618865211426986,-83.61798800220103,GA
Genji Japanese Steak & Seafood,Japanese Restaurant,32.55674513917244,-83.66324116528463,GA
Hibachi Express,Asian Restaurant,32.55015353560765,-83.69052010693083,GA
Malaya,Asian Restaurant,32.61877977546745,-83.635848343181,GA
Yami Yami,Chinese Restaurant,32.553159,-83.6584,GA
China Garden,Chinese Restaurant,32.54280583,-82.95277041666667,GA
Chinese Chef Restaurant,Chinese Restaurant,32.18848705115754,-83.17320954475726,GA
Happy China Buffet,Chinese Restaurant,32.592631727597826,-83.62687916891603,GA
China Wok,Chinese Restaurant,32.6345428216941,-83.64220242412381,GA
New China Buffet,Chinese Restaurant,32.61587,-83.697749,GA
Hong Kong,Chinese Restaurant,32.549670938200855,-82.91419807067571,GA
Hong Kong Express,Chinese Restaurant,32.390528671454035,-83.3505241134139,GA
New Ocean Buffet,Chinese Restaurant,32.63056564331055,-83.61341094970703,GA
CF Wu's,Chinese Restaurant,32.545130252838135,-82.93844640254974,GA
Peking,Chinese Restaurant,32.28095306666667,-83.47120511666667,GA
China Buffet,Chinese Restaurant,32.59426569774571,-83.63265027679202,GA
Kim's Kitchen,Chinese Restaurant,32.6190673,-83.63632313333333,GA
Day Day New Chinese Restaurant,Chinese Restaurant,32.07169657048118,-82.91028360008258,GA
China Express,Chinese Restaurant,32.540529,-82.902486,GA
Chen's Wok,Chinese Restaurant,32.62068945444804,-83.68753910064697,GA
China Wok,Chinese Restaurant,32.62413276096899,-83.64447789071647,GA
China Buffet,Chinese Restaurant,32.605957937356365,-83.65092459676328,GA
China King Buffett,Chinese Restaurant,32.611032128334045,-83.69716286659241,GA
Hibachi Grill Buffet,Japanese Restaurant,32.494231032997355,-82.93062582697885,GA
My Thai and Sushi,Thai Restaurant,32.5565054,-83.66362,GA
Tokyo Express,Japanese Restaurant,32.62113255779286,-83.68779466371379,GA
Teriyaki Japan,Japanese Restaurant,32.6212221243428,-83.68769602639227,GA
Genji Japanese Steakhouse,Japanese Restaurant,32.61818378136674,-83.67664765927732,GA
Seoul House Korean Restaurant,Korean Restaurant,32.619108538874485,-83.61469287075396,GA
Koiya,Asian Restaurant,32.21101606275456,-82.39245612014163,GA
Koiya Japanese Express,Japanese Restaurant,32.58811606780731,-82.32877066688515,GA
New China Restaurant,Chinese Restaurant,32.5790563271064,-82.31737596560863,GA
New Super Buffet,Chinese Restaurant,32.202361251519285,-82.36032776817446,GA
Great Wall,Chinese Restaurant,32.16087267342313,-81.9042419100128,GA
The Great Wall,Chinese Restaurant,31.937079810072508,-81.92859011706,GA
Great Wall,Chinese Restaurant,32.18552,-82.580129,GA
Main Moon Chinese Restaurant,Chinese Restaurant,32.167049,-81.903366,GA
Shogun Express,Japanese Restaurant,32.383398,-82.061091,GA
Natsu Japanese Steak and Seafood,Japanese Restaurant,32.203872,-82.343562,GA
Osaka,Japanese Restaurant,32.216111,-82.409092,GA
Fuji's,Japanese Restaurant,31.93307628789844,-81.32522567903467,GA
Pakwan,Indo-Pak Restaurant,31.924463,-81.327913,GA
Mr. Sze Chinese Restaurant,Chinese Restaurant,32.14549386165899,-81.33878922841593,GA
China #1,Chinese Restaurant,32.13609890802662,-81.62211844257455,Georgia
Smoke House Southern Grill,Chinese Restaurant,31.929893,-81.327862,GA
China I,Chinese Restaurant,31.929386,-81.329102,GA
80's Cafe,Japanese Restaurant,32.196587,-81.438091,GA
Asia,Asian Restaurant,31.90907055635867,-81.27819238717832,GA
China Taste,Chinese Restaurant,31.986144589992882,-81.21998786751622,GA
Shogun,Japanese Restaurant,31.952614816848524,-81.31272790999972,GA
Sakura Place,Japanese Restaurant,31.983963833617572,-81.22288573411008,GA
Happy Wok,Chinese Restaurant,31.953393021315897,-81.31359746295468,GA
Beijing House,Chinese Restaurant,31.946224,-81.31029,GA
Himalayan Curry Kitchen,Indo-Pak Restaurant,31.947132,-81.31036,GA
